,time,posEst_J_0,posEst_J_1,posEst_J_2,velEst_J_0,velEst_J_1,velEst_J_2,angRateEst_LI_L_0,angRateEst_LI_L_1,angRateEst_LI_L_2
4458,2229.0,-3471194.370978218,-5981582.504549633,-932406.8909118344,6506.9006421601325,-3688.7376991574315,-839.776451816423,0.0,-0.0010963427480635223,0.0
4459,2229.5,-3467939.9034309834,-5983425.119052613,-932826.505644957,6508.934452822861,-3685.2286551413713,-839.2293856793386,0.0,-0.0010963437007233303,0.0
4460,2230.0,-3464684.419940635,-5985265.978506926,-933245.8467240955,6510.966338866378,-3681.7185581472754,-838.6820777648933,0.0,-0.0010963446533723486,0.0
4461,2230.5,-3461427.9214697587,-5987105.082386594,-933664.9140284416,6512.996299739213,-3678.2074091954473,-838.1345282333754,0.0,-0.001096345606010586,0.0
4462,2231.0,-3458170.4089812147,-5988942.430166147,-934083.7074372668,6515.024334890439,-3674.6952093064438,-837.5867372451338,0.0,-0.0010963465586380564,0.0
4463,2231.5,-3454911.8834381397,-5990778.021320626,-934502.226829923,6517.050443769668,-3671.1819595010734,-837.0387049605781,0.0,-0.0010963475112547667,0.0
4464,2232.0,-3451652.3458039444,-5992611.855325585,-934920.4720858422,6519.074625827056,-3667.667660800397,-836.4904315401778,0.0,-0.0010963484638607296,0.0
4465,2232.5,-3448391.797042315,-5994443.931657087,-935338.4430845367,6521.096880513298,-3664.152314225726,-835.941917144463,0.0,-0.0010963494164559536,0.0
4466,2233.0,-3445130.2381172106,-5996274.249791705,-935756.1397055993,6523.117207279633,-3660.635920798625,-835.3931619340239,0.0,-0.001096350369040452,0.0
4467,2233.5,-3441867.669992866,-5998102.809206524,-936173.5618287028,6525.13560557784,-3657.118481540909,-834.8441660695107,0.0,-0.0010963513216142328,0.0
4468,2234.0,-3438604.093633789,-5999929.609379139,-936590.7093336006,6527.152074860242,-3653.5999974746437,-834.2949297116343,0.0,-0.001096352274177307,0.0
4469,2234.5,-3435339.5100047616,-6001754.649787657,-937007.5821001263,6529.166614579703,-3650.0804696221458,-833.7454530211653,0.0,-0.0010963532267296854,0.0
4470,2235.0,-3432073.920070838,-6003577.929910697,-937424.1800081942,6531.179224189628,-3646.5598990059816,-833.1957361589344,0.0,-0.001096354179271377,0.0
4471,2235.5,-3428807.3247973467,-6005399.449227388,-937840.5029377986,6533.189903143966,-3643.038286648968,-832.6457792858326,0.0,-0.0010963551318023958,0.0
4472,2236.0,-3425539.7251498876,-6007219.207217371,-938256.5507690147,6535.198650897208,-3639.515633574172,-832.0955825628106,0.0,-0.0010963560843227503,0.0
4473,2236.5,-3422271.122094334,-6009037.203360799,-938672.323381998,6537.205466904386,-3635.9919408049104,-831.5451461508791,0.0,-0.00109635703683245,0.0
4474,2237.0,-3419001.516596832,-6010853.437138336,-939087.8206569845,6539.210350621077,-3632.467209364748,-830.9944702111087,0.0,-0.0010963579893315059,0.0
4475,2237.5,-3415730.909623798,-6012667.908031158,-939503.0424742908,6541.213301503398,-3628.9414402775,-830.4435549046301,0.0,-0.0010963589418199289,0.0
